name,address, shares, ratePerOneOKT,rewards25PerYear, rewards75PerYear, rewardsPerYear, commissionRate, depositOktNums, depositOktRewardPerYear, APR, top21
Chillcrypto,exvaloper1xkl5agjzqnjnptyat2dng2asmx8g5kllg7xamv, 41964669766217, 0.000000174950691639, 46928.5714, 141720.7974, 188649.3688, 0, 10000, 330.04337549, 3.30043375%, True
Unique farming,exvaloper1fymxn4gazxzjdfvwvr0ccnrnjpwmj0r9vw3t2y, 41963324408312, 0.000000174956300615, 46928.5714, 141716.2539, 188644.8253, 0, 10000, 330.04600765, 3.30046008%, True
Tombolo,exvaloper1m569cfenudxemegcf4mmykhugnslhdv0xhvcj6, 41961777295303, 0.000000174962751180, 46928.5714, 141711.0291, 188639.6005, 0, 10000, 330.04903485, 3.30049035%, True
Defilego,exvaloper1tkwxgcpvptua0q0h5tn0at58ufnjdue7xp9jh4, 41960206491351, 0.000000174969301009, 46928.5714, 141705.7243, 188634.2957, 0, 10000, 330.05210865, 3.30052109%, True
Nodeplus,exvaloper1ygcvtcqxl82xvzrq25dymam434k3nnc8kwvrkm, 41959952113212, 0.000000174970361744, 46928.5714, 141704.8652, 188633.4366, 0, 10000, 330.05260639, 3.30052606%, True
DeLab,exvaloper1c34s7lc7ec8gs9xrtxeh0j2wjaam25c3g06xp3, 41957906122584, 0.000000174978893812, 46928.5714, 141697.9556, 188626.5270, 0, 10000, 330.05661038, 3.30056610%, True
Hydrus,exvaloper1508d7eq592kg2lh9d46xvv3r4sm7gm8w0nrejk, 41955974910968, 0.000000174986947999, 46928.5714, 141691.4336, 188620.0050, 0, 10000, 330.06039007, 3.30060390%, True
Blockpro,exvaloper1ja9xngm4zh0t442mse73ll30p7dczd49s88n2x, 41955531505149, 0.000000174988797344, 46928.5714, 141689.9362, 188618.5076, 0, 10000, 330.06125802, 3.30061258%, True
ZK capitial,exvaloper1zza3jrylyecrtuh0p9ts2xauzsefuvwa4l9fsx, 41953038429140, 0.000000174999196123, 46928.5714, 141681.5167, 188610.0881, 0, 10000, 330.06613798, 3.30066138%, True
Samual,exvaloper1ka92ujcwh6hyyeu4tymzy3dedgxplt4dtsr7xh, 41951716926868, 0.000000175004708694, 46928.5714, 141677.0538, 188605.6252, 0, 10000, 330.06872496, 3.30068725%, True
Zapzap,exvaloper1qva0ejf0t943x6rt824gwmvtjgec9cjrut5wn8, 41876865915008, 0.000000175317513371, 46928.5714, 141424.2710, 188352.8424, 0, 0, 0.00000000, 3.30215520%, True
Squares,exvaloper19wln93k3faq7vkqzlc9gljr3ey5fljt93jfxsy, 41875544190870, 0.000000175323046944, 46928.5714, 141419.8073, 188348.3787, 0, 0, 0.00000000, 3.30218116%, True
Nozash,exvaloper195ez67wmhprwrru34gvttyd8ttpl7edx3px8ua, 41874251633766, 0.000000175328458744, 46928.5714, 141415.4422, 188344.0136, 0, 0, 0.00000000, 3.30220656%, True
Collector,exvaloper1q9nct2gska2yutx24starv6s63xz022fdwdgzv, 41872927045623, 0.000000175334005000, 46928.5714, 141410.9689, 188339.5403, 0, 0, 0.00000000, 3.30223259%, True
Unicorn,exvaloper1zxthrcdcecfe5ss4tal0tq30hzel2lks6psuhm, 41871597326121, 0.000000175339573096, 46928.5714, 141406.4782, 188335.0496, 0, 0, 0.00000000, 3.30225872%, True
ChainHub,exvaloper1s6nfs7mlj7ewsskkrmekqhpq2w234fcz5uq4m5, 41870213233449, 0.000000175345369250, 46928.5714, 141401.8039, 188330.3753, 0, 0, 0.00000000, 3.30228592%, True
Cryptomars,exvaloper18au05qx485u2qcw2gvqsrfh29evq77lm9u2jwr, 41868014165531, 0.000000175354579058, 46928.5714, 141394.3774, 188322.9488, 0, 0, 0.00000000, 3.30232914%, True
Cosmostation,exvaloper19e6edpu97d6w2t5dlp7lph2fkdja0lvlj8ngk0, 41866711407492, 0.000000175360035531, 46928.5714, 141389.9778, 188318.5492, 0, 0, 0.00000000, 3.30235475%, True
Nebulas NOVA,exvaloper188dhgmaq8cka2yczzjfzsw0nely6y8uap4u5kg, 4957201849463, 0.000001481026640219, 46928.5714, 16741.1921, 63669.7635, 0, 0, 0.00000000, 9.42966159%, True
ChainUP Labs,exvaloper1vlzgq74y6hm9crhkkhdjy77uvyqa0zdupstsqj, 4952729874222, 0.000001482363905654, 46928.5714, 16726.0896, 63654.6610, 0, 0, 0.00000000, 9.43593719%, True
X-DUCK,exvaloper1vsjcts3ga8dgf6nj2q7vmlrnu5en4cneaskg9w, 4769093868284, 0.000001539442963961, 46928.5714, 16105.9241, 63034.4955, 0, 0, 0.00000000, 9.70380106%, True
OKLive,exvaloper1v5pvu4rkzc5axd6f7ngxa39je6d0lyujky5tng, 4769093868284, 0.000001539442963961, 0, 16105.9241, 16105.9241, 0, 0, 0.00000000, 2.47941515%, False
jiqix,exvaloper1evazeyntpfr62avj65dwd6mcw9wvh24kc3x84s, 4765246744930, 0.000001540685801383, 0, 16092.9318, 16092.9318, 0, 0, 0.00000000, 2.47941515%, False
GongFu,exvaloper1w5zu7xxzfdx729elg2lu4rnltjsvzpdg3dhpaf, 4764973508216, 0.000001540774148553, 0, 16092.0090, 16092.0090, 0, 0, 0.00000000, 2.47941515%, False
ICoin,exvaloper1fwvre7w2na66fq3k2wjy30rzp07c4fl99v3hsw, 4764876046783, 0.000001540805663761, 0, 16091.6799, 16091.6799, 0, 0, 0.00000000, 2.47941515%, False
okusb,exvaloper14kpvn0zr75594rlrl66lw953mlkrq6qz5ctupj, 4764876046783, 0.000001540805663761, 0, 16091.6799, 16091.6799, 0, 0, 0.00000000, 2.47941515%, False
oxford,exvaloper1xaxvu9wxr8szym3aqdesvqq968y2tf53l8fyak, 4760435709053, 0.000001542242863618, 0, 16076.6842, 16076.6842, 0, 0, 0.00000000, 2.47941515%, False
voyager,exvaloper1hw0y28hgzadpmjwa68sfukdp69pc68cnxxgml0, 4760435709053, 0.000001542242863618, 0, 16076.6842, 16076.6842, 0, 0, 0.00000000, 2.47941515%, False
White whale-3,exvaloper1pc864zshkvsgc724k5jffcjsrmhz63m6gwrrhh, 4601365840729, 0.000001595558417680, 0, 15539.4821, 15539.4821, 0, 0, 0.00000000, 2.47941515%, False
White whale-2,exvaloper1klcqq056hndfch7yew6fkl6tyrdr07qxv60g90, 4601365840729, 0.000001595558417680, 0, 15539.4821, 15539.4821, 0, 0, 0.00000000, 2.47941515%, False
White whale-1,exvaloper1a9893mfvk9x80x209jhpvl0hm24djxqhr3jwuf, 4601365840729, 0.000001595558417680, 0, 15539.4821, 15539.4821, 0, 0, 0.00000000, 2.47941515%, False
White whale-6,exvaloper1rr253al2mtdgfcjwh7j3778g5gru3elyumxj8m, 4601365812435, 0.000001595558427491, 0, 15539.4820, 15539.4820, 0, 0, 0.00000000, 2.47941515%, False
White whale-5,exvaloper18w9mggs2s5t8ve0zr0ctjcyq7faft3qp8dlj75, 4601365812435, 0.000001595558427491, 0, 15539.4820, 15539.4820, 0, 0, 0.00000000, 2.47941515%, False
White whale-13,exvaloper1079vd72hpvlhnt7yjdya50egxkdr4dtureduuf, 4601365812435, 0.000001595558427491, 0, 15539.4820, 15539.4820, 0, 0, 0.00000000, 2.47941515%, False
White whale-12,exvaloper1k84d9rfaz6v92sazaclj24uyvx79wnl8kvckks, 4601365812435, 0.000001595558427491, 0, 15539.4820, 15539.4820, 0, 0, 0.00000000, 2.47941515%, False
White whale-4,exvaloper1h59keaqu7jap3cs6fqw0usggapl9q2x5v4w7rx, 4601365812435, 0.000001595558427491, 0, 15539.4820, 15539.4820, 0, 0, 0.00000000, 2.47941515%, False
OKvibe,exvaloper1mlmwvdprn8dj6g45vdxkjsjgu4ntu9j7dnjky2, 3058144235244, 0.000002400719990702, 0, 10327.7982, 10327.7982, 0, 0, 0.00000000, 2.47941516%, False
Validator1,exvaloper18v23ln9ycrtg0mrwsm004sh4tdknudtdapcfcq, 3031905295260, 0.000002421496479945, 0, 10239.1854, 10239.1854, 0, 0, 0.00000000, 2.47941514%, False
Validator2,exvaloper1ucmx6vvtrwam9pg20fnwmy9z80uhchyxqn67wq, 3028074584720, 0.000002424559829882, 0, 10226.2486, 10226.2486, 0, 0, 0.00000000, 2.47941516%, False
Validator3,exvaloper1g3a6vtau2k93n4tqgqnrggeu3qa4x20rgs4x4s, 3024375354048, 0.000002427525402948, 0, 10213.7557, 10213.7557, 0, 0, 0.00000000, 2.47941514%, False
Best bp,exvaloper1tat4lam8wjqmeax9mv4s584vu2mp7c0cgvlajl, 3003005597444, 0.000002444799971818, 0, 10141.5870, 10141.5870, 0, 0, 0.00000000, 2.47941516%, False
Taurus,exvaloper1rz7frqz9ky52qqjwlpawfe5hz6plcrmmpha0px, 3002647151587, 0.000002445091823766, 0, 10140.3764, 10140.3764, 0, 0, 0.00000000, 2.47941514%, False
Junglefly,exvaloper1w3ptfgekjgdvwkqmdepdeyvuxqmcplfszlz3jm, 3002333539484, 0.000002445347228563, 0, 10139.3173, 10139.3173, 0, 0, 0.00000000, 2.47941515%, False
Deeworld,exvaloper1v4kagglr3vq82vqywqd8quhsuarkm4kf2nz85r, 3002157791171, 0.000002445490380816, 0, 10138.7238, 10138.7238, 0, 0, 0.00000000, 2.47941515%, False
Pialote,exvaloper1rmrx7wp60almzvghx2820aamjfd4kgwlcx542p, 3002041671750, 0.000002445584972750, 0, 10138.3316, 10138.3316, 0, 0, 0.00000000, 2.47941514%, False
Linkeye,exvaloper14zgafe7cynlpuhpfpqpxu2gntzhq6ttedqru6j, 3001213592329, 0.000002446259745979, 0, 10135.5351, 10135.5351, 0, 0, 0.00000000, 2.47941515%, False
Wulix,exvaloper13mayrjzsrp976y0ae0qw8sjan3qg2xfdeq8vmh, 2943165471929, 0.000002494507383300, 0, 9939.4982, 9939.4982, 0, 0, 0.00000000, 2.47941516%, False
Sakuya,exvaloper104y8sy0r6fke4a9qr8u05j6v5y68gkh4v3ud9t, 2942944665695, 0.000002494694543727, 0, 9938.7525, 9938.7525, 0, 0, 0.00000000, 2.47941516%, False
DappBirds,exvaloper1rv8tjxp8d8ucuak8c7svewwugzfdjwf9arju5j, 1345014898, 0.005458488237503522, 0, 4.5423, 4.5423, 0, 0, 0.00000000, 2.47940911%, False
--------
depoistOKT,voteValidatorNum,totalARP
10000, 10, 33.00556254%
